tp,fp,tn,fn,sensitivity,specificity,precision,f1,false_negative_rate,false_positive_rate,accuracy,held_out,rung,seed,threshold,n,positives,prevalence,auroc,auprc,mae
9,27,1359,19,0.321429,0.980519,0.250000,0.281250,0.678571,0.019481,0.967468,Georgia,rung1_bmc,2,120,1414,28,0.019802,0.917491,0.240383,24.582414
4,6,1380,24,0.142857,0.995671,0.400000,0.210526,0.857143,0.004329,0.978784,Georgia,rung1_bmc,3,120,1414,28,0.019802,0.942538,0.248549,23.327561
6,14,1372,22,0.214286,0.989899,0.300000,0.250000,0.785714,0.010101,0.974540,Georgia,rung1_bmc,4,120,1414,28,0.019802,0.938002,0.232544,23.853210
4,4,1382,24,0.142857,0.997114,0.500000,0.222222,0.857143,0.002886,0.980198,Georgia,rung1_mse,0,120,1414,28,0.019802,0.941945,0.291146,23.782094
0,2,1384,28,0.000000,0.998557,0.000000,,1.000000,0.001443,0.978784,Georgia,rung1_mse,1,120,1414,28,0.019802,0.941662,0.227846,22.425407
2,5,1381,26,0.071429,0.996392,0.285714,0.114286,0.928571,0.003608,0.978076,Georgia,rung1_mse,2,120,1414,28,0.019802,0.915662,0.242431,23.894928
1,2,1384,27,0.035714,0.998557,0.333333,0.064516,0.964286,0.001443,0.979491,Georgia,rung1_mse,3,120,1414,28,0.019802,0.940785,0.270674,22.295022
5,5,1381,23,0.178571,0.996392,0.500000,0.263158,0.821429,0.003608,0.980198,Georgia,rung1_mse,4,120,1414,28,0.019802,0.935348,0.219534,24.013949
5,7,1379,23,0.178571,0.994949,0.416667,0.250000,0.821429,0.005051,0.978784,Georgia,rung4b_spatial_cavity,0,120,1414,28,0.019802,0.943878,0.294971,22.724409
5,6,1380,23,0.178571,0.995671,0.454545,0.256410,0.821429,0.004329,0.979491,Georgia,rung4b_spatial_cavity,1,120,1414,28,0.019802,0.943027,0.238935,22.800187
