mode,rung,loss,standardize,retrieval,alpha,cavity_loss,cavity_thr,alp_head,ensemble,held_out,seed,n_test,alp_mae,cavity_auc,cavity_f1,timika_mae,timika_pearson,timika_mae_ci_lo,timika_mae_ci_hi,conformal_cov,conformal_width,base_timika_mae,paper_timika_mae,cav_best_val_ce,verdict
fusion,rung2_tta,bmc,transductive,False,0.0,ce,0.5,mlp,1,Kazakhstan,4,399,13.134892463684082,,,19.58631588660576,0.7540046592459981,18.133431445967844,21.227364478528077,,,21.9,19.62,0.516109824180603,BEATS
fusion,rung3_retrieval,bmc,none,True,0.4,ce,0.5,mlp,1,Romania,0,220,12.4668550491333,,,19.59878477920185,0.6560543167702474,17.462683939641174,21.718350771026184,,,20.26,18.7,0.5340337157249451,within-noise
fusion,rung3_retrieval,bmc,none,True,0.2,ce,0.5,mlp,1,Romania,1,220,12.2417631149292,,,20.07580706016584,0.6497521332917974,18.264497926201333,21.92759974449873,,,20.26,18.7,0.529326856136322,within-noise
fusion,rung3_retrieval,bmc,none,True,0.4,ce,0.5,mlp,1,Romania,2,220,13.24234104156494,,,19.54869096821005,0.677263734393259,17.578775971884077,21.63986202172258,,,20.26,18.7,0.5664180517196655,within-noise
fusion,rung3_retrieval,bmc,none,True,0.25,ce,0.5,mlp,1,Romania,3,220,13.550379753112791,,,19.747716038010346,0.6718314032181147,17.89254303924875,21.805380002392965,,,20.26,18.7,0.5793893933296204,within-noise
fusion,rung3_retrieval,bmc,none,True,0.35,ce,0.5,mlp,1,Romania,4,220,12.540578842163086,,,20.01580182248896,0.6482439491283197,18.057691657998344,22.07429568238692,,,20.26,18.7,0.5446211695671082,within-noise
fusion,rung3_retrieval,bmc,none,True,0.35,ce,0.5,mlp,1,Moldova,0,589,21.991289138793945,,,21.430208728680032,0.8238206029382298,19.80354463459984,23.084868248259408,,,26.16,18.85,0.5669577717781067,BEATS
fusion,rung3_retrieval,bmc,none,True,0.3,ce,0.5,mlp,1,Moldova,1,589,20.746715545654297,,,21.190388287463445,0.7966005867723757,19.674961655746184,22.77929610752948,,,26.16,18.85,0.545996904373169,BEATS
fusion,rung3_retrieval,bmc,none,True,0.35,ce,0.5,mlp,1,Moldova,2,589,21.05064010620117,,,21.46180814646298,0.7886425268945704,19.98148757797576,22.936527229394443,,,26.16,18.85,0.5653663277626038,BEATS
fusion,rung3_retrieval,bmc,none,True,0.25,ce,0.5,mlp,1,Moldova,3,589,21.80964469909668,,,22.303410707770865,0.7817886432399662,20.73121050620929,23.93524711677548,,,26.16,18.85,0.5528581738471985,BEATS
fusion,rung3_retrieval,bmc,none,True,0.4,ce,0.5,mlp,1,Moldova,4,589,20.92811584472656,,,20.83094272351427,0.8169708932798445,19.23282796854884,22.4283466045857,,,26.16,18.85,0.58884596824646,BEATS
fusion,rung3_retrieval,bmc,none,True,0.2,ce,0.5,mlp,1,Kazakhstan,0,399,10.75368595123291,,,17.305611217709114,0.7945842805361986,15.830449048116392,18.76145539717268,,,21.9,19.62,0.5771103501319885,BEATS
fusion,rung3_retrieval,bmc,none,True,0.3,ce,0.5,mlp,1,Kazakhstan,1,399,10.797048568725586,,,16.477559220726675,0.8027796053131896,14.927555865675073,17.942334211079437,,,21.9,19.62,0.5406512022018433,BEATS
fusion,rung3_retrieval,bmc,none,True,0.25,ce,0.5,mlp,1,Kazakhstan,2,399,10.563875198364258,,,17.447542877210545,0.7876961834027022,16.083668445223207,18.900525087294373,,,21.9,19.62,0.5351744890213013,BEATS
fusion,rung3_retrieval,bmc,none,True,0.15,ce,0.5,mlp,1,Kazakhstan,3,399,10.37714672088623,,,17.89106829288908,0.7645661631235423,16.362554249205534,19.44192491413433,,,21.9,19.62,0.5405147075653076,BEATS
fusion,rung3_retrieval,bmc,none,True,0.2,ce,0.5,mlp,1,Kazakhstan,4,399,10.674437522888184,,,17.813158370229537,0.7886687933375084,16.50288815340676,19.18503242037649,,,21.9,19.62,0.516109824180603,BEATS
fusion,rung5_moe,bmc,none,False,0.0,ce,0.5,moe,1,Romania,0,220,12.4668550491333,,,19.8727957961776,0.6481968721734863,17.58016639945453,22.087656810305337,,,20.26,18.7,0.5340337157249451,within-noise
fusion,rung5_moe,bmc,none,False,0.0,ce,0.5,moe,1,Romania,1,220,12.2417631149292,,,20.40019545972347,0.6417661701991653,18.4624594687806,22.38481852483208,,,20.26,18.7,0.529326856136322,within-noise
fusion,rung5_moe,bmc,none,False,0.0,ce,0.5,moe,1,Romania,2,220,13.24234104156494,,,20.53291676029648,0.6472458689150671,18.554441447832662,22.54909355407041,,,20.26,18.7,0.5664180517196655,within-noise
fusion,rung5_moe,bmc,none,False,0.0,ce,0.5,moe,1,Romania,3,220,13.550379753112791,,,20.766630748076874,0.6565069123537883,18.719242652654646,23.040290945267135,,,20.26,18.7,0.5793893933296204,within-noise
fusion,rung5_moe,bmc,none,False,0.0,ce,0.5,moe,1,Romania,4,220,12.540578842163086,,,20.279677485769447,0.6404462204776893,18.27206558682702,22.38108887017315,,,20.26,18.7,0.5446211695671082,within-noise
fusion,rung5_moe,bmc,none,False,0.0,ce,0.5,moe,1,Moldova,0,589,21.991289138793945,,,21.949013893409983,0.8200899445486357,20.35056801028196,23.550719339379157,,,26.16,18.85,0.5669577717781067,BEATS
fusion,rung5_moe,bmc,none,False,0.0,ce,0.5,moe,1,Moldova,1,589,20.746715545654297,,,23.78585428997292,0.7847481397835665,22.08657796343867,25.504440436174992,,,26.16,18.85,0.545996904373169,BEATS
fusion,rung5_moe,bmc,none,False,0.0,ce,0.5,moe,1,Moldova,2,589,21.05064010620117,,,22.264513258491792,0.7779319782900949,20.788261717408265,23.737436243146657,,,26.16,18.85,0.5653663277626038,BEATS
fusion,rung5_moe,bmc,none,False,0.0,ce,0.5,moe,1,Moldova,3,589,21.80964469909668,,,21.959657596581707,0.7848627016384937,20.42103216017965,23.580331197351924,,,26.16,18.85,0.5528581738471985,BEATS
fusion,rung5_moe,bmc,none,False,0.0,ce,0.5,moe,1,Moldova,4,589,20.92811584472656,,,21.20278460173939,0.8042920703550438,19.63401049542837,22.76875621010067,,,26.16,18.85,0.58884596824646,BEATS
fusion,rung5_moe,bmc,none,False,0.0,ce,0.5,moe,1,Kazakhstan,0,399,10.75368595123291,,,17.249820172920927,0.7710782243484483,15.536831332184695,18.882566616285317,,,21.9,19.62,0.5771103501319885,BEATS
fusion,rung5_moe,bmc,none,False,0.0,ce,0.5,moe,1,Kazakhstan,1,399,10.797048568725586,,,16.147253031741926,0.7891161686603518,14.554828233720604,17.689464296594867,,,21.9,19.62,0.5406512022018433,BEATS
fusion,rung5_moe,bmc,none,False,0.0,ce,0.5,moe,1,Kazakhstan,2,399,10.563875198364258,,,17.330493169779302,0.7770777978802175,15.817012723846483,18.81106379922309,,,21.9,19.62,0.5351744890213013,BEATS
fusion,rung5_moe,bmc,none,False,0.0,ce,0.5,moe,1,Kazakhstan,3,399,10.37714672088623,,,18.06083042249644,0.751425481338479,16.456189382299222,19.73321132240737,,,21.9,19.62,0.5405147075653076,BEATS
fusion,rung5_moe,bmc,none,False,0.0,ce,0.5,moe,1,Kazakhstan,4,399,10.674437522888184,,,18.43070017722316,0.7482484647605373,16.718660494810656,20.188068569599466,,,21.9,19.62,0.516109824180603,BEATS
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Romania,0,220,12.884854316711426,,,19.74952360575849,0.6570167950433868,17.551125522407617,21.85885852287032,0.8954545454545455,89.19760398864747,20.26,18.7,0.5340337157249451,within-noise
